dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2024-12-06T20:00:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0993nUA4P2@competitie.vttl.be","","","POVLH11/050\nSleidinge C / HNO Assenede B","","GBS Wippelgem, Droogte 208, 9940 Evergem (Wippelgem)","","","Sleidinge C / HNO Assenede B",""
"2025-01-11T19:00:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0993x4DuUc@competitie.vttl.be","","","POVLH12/054\nSint-Niklase F / HNO Assenede B","","Hoofdlokaal, Nijverheidsstraat 29, 9100 Sint-Niklaas","","","Sint-Niklase F / HNO Assenede B",""
"2025-01-17T20:15:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0994NRdpAC@competitie.vttl.be","","","POVLH13/054\nHNO Assenede B / D'leeuw 2001 B","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede B / D'leeuw 2001 B",""
"2025-01-25T19:00:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0994N7443e@competitie.vttl.be","","","POVLH14/053\nQLT Gent D / HNO Assenede B","","QLT BV, Johannes Hartmannlaan 4, 9040 SInt Amandsberg","","","QLT Gent D / HNO Assenede B",""
"2025-02-08T19:00:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0995V0mhDv@competitie.vttl.be","","","POVLH15/053\nKruibeke E / HNO Assenede B","","O.L.V-School, Langestraat 14, 9150 Kruibeke","","","Kruibeke E / HNO Assenede B",""
"2025-02-14T20:15:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0995xgAnJt@competitie.vttl.be","","","POVLH16/053\nHNO Assenede B / Meteor B","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede B / Meteor B",""
"2025-02-22T18:30:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0996tlGu5B@competitie.vttl.be","","","POVLH17/054\nMaldegem C / HNO Assenede B","","Sporthal MEOS, Bloemestraat 36, 9990 Maldegem","","","Maldegem C / HNO Assenede B",""
"2025-03-07T20:15:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0997hoowjD@competitie.vttl.be","","","POVLH18/054\nHNO Assenede B / De Pinte B","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede B / De Pinte B",""
"2025-03-15T19:00:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0997grrsmv@competitie.vttl.be","","","POVLH19/052\nKTTC Eikenlo C / HNO Assenede B","","Feestzaal Sparrenhof/ Zaal KTTC Eikenlo, Brugsesteenweg 183, 9900 Eeklo","","","KTTC Eikenlo C / HNO Assenede B",""
"2025-03-28T20:15:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0998TdvDUu@competitie.vttl.be","","","POVLH20/051\nHNO Assenede B / Rooigem-Gent I","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede B / Rooigem-Gent I",""
"2025-04-04T20:00:00","","2025-01-07T14:24:09Z","","20250107T152409CET-0998tkWZ5n@competitie.vttl.be","","","POVLH21/049\nEgmont B / HNO Assenede B","","Sportcomplex Bevegemse Vijvers, Zwembadstraat 7, 9620 Zottegem","","","Egmont B / HNO Assenede B",""
"2025-04-11T20:15:00","","2025-01-07T14:24:09Z","","20250107T152409CET-09996NKO0u@competitie.vttl.be","","","POVLH22/050\nHNO Assenede B / Sleidinge C","","VBS Het Ooievaartnest, Leegstraat  19, 9960 Assenede","","","HNO Assenede B / Sleidinge C",""
